group,asin,date,product_name,at_risk_sales
E_chemical,B0CL13VN2N,Jun 4 2026,SCIGRIP IPS Weld-On #3 Acrylic Adhesive DCM & TCE Free (Quart),$4394
D_other_plastic,B09VJFR73G,Jun 3 2026,Polycarbonate Round Rod Clear 1in OD x 12in L,none
A_hdpe_cutboard,B0D8BX24M6,May 29 2026,HDPE Cutting Board Sheet Red 3/4 x 30x48,none
A_hdpe_cutboard,B0D8BZXQ6B,May 29 2026,HDPE Cutting Board Sheet Black 3/8 x 18x42,none
A_hdpe_cutboard,B07JWMH4X7,May 29 2026,HDPE Cutting Board Sheet Green 3/4 x 12x36,none
A_hdpe_cutboard,B07JJLMJKR,May 27 2026,HDPE Cutting Board Sheet Blue 3/4 x 12x24,none
A_hdpe_cutboard,B07JJ357J6,May 27 2026,HDPE Cutting Board Sheet Green 1/2 x 30x30,none
A_hdpe_cutboard,B0D8CJXDCN,May 27 2026,HDPE Cutting Board Sheet Red 1 x 36x42,none
B_woodgrain,B08L43TL6C,May 27 2026,Whitewash Woodgrain HDPE Sheet 1/2 x 18x60,none
B_woodgrain,B08L45WTZ7,May 27 2026,Teak Woodgrain HDPE Sheet 1/2 x 18x36,none
A_hdpe_cutboard,B0D8C8GXJV,May 24 2026,HDPE Cutting Board Sheet Red 1 x 12x18,none
A_hdpe_cutboard,B0D8C6B3RM,May 24 2026,HDPE Cutting Board Sheet Black 1 x 18x36,none
A_hdpe_cutboard,B07JJYHVJV,May 24 2026,HDPE Cutting Board Sheet Yellow 1/2 x 18x24,none
A_hdpe_cutboard,B07JHFMMQ7,May 23 2026,HDPE Cutting Board Sheet Natural White 5/8 x 30x36,none
B_woodgrain,B08L45ZP1X,May 23 2026,HDPE Sheet Woodgrain,none
A_hdpe_cutboard,B0D8BWM35G,May 23 2026,HDPE Cutting Board Sheet Red 3/4 x 24x48,none
A_hdpe_cutboard,B07JJYK953,May 23 2026,HDPE Cutting Board Sheet Blue 3/4 x 36x36,none
A_hdpe_cutboard,B07XYDHC3B,May 23 2026,HDPE Cutting Board Sheet Beige 1/2 x 36x36,none
B_woodgrain,B08L43Y89Z,May 20 2026,Dark Ash Woodgrain HDPE Sheet 3/4 x 18x54,none
B_woodgrain,B08L44HHR5,May 20 2026,Dark Ash Woodgrain HDPE Sheet 3/4 x 12x54,none
A_hdpe_cutboard,B07JHF8LP1,May 20 2026,HDPE Cutting Board Sheet Yellow 1/2 x 36x36,none
A_hdpe_cutboard,B09L8P59CZ,May 20 2026,HDPE Cutting Board Sheet White 3/8 x 24x48,none
A_hdpe_cutboard,B07JJ356SQ,May 20 2026,HDPE Cutting Board Sheet Red 1/2 x 12x42,none
A_hdpe_cutboard,B07XYCVJC8,May 20 2026,HDPE Cutting Board Sheet Beige 1/2 x 24x48,none
A_hdpe_cutboard,B07JHFFHN3,May 20 2026,HDPE Cutting Board Sheet Red 1/2 x 12x36,none
A_hdpe_cutboard,B07JHFFDZX,May 19 2026,HDPE Cutting Board Sheet Yellow 1/2 x 18x18,none
B_woodgrain,B08L43928G,May 17 2026,Weatherwood Woodgrain HDPE Sheet 1/2 x 18x48,none
B_woodgrain,B08L44BPJY,May 17 2026,Whitewash Woodgrain HDPE Sheet 1/2 x 12x54,none
A_hdpe_cutboard,B09RRV25DH,May 17 2026,HDPE Cutting Board Sheet White 3/8 x 18x18,none
A_hdpe_cutboard,B07JHF8LW7,May 17 2026,HDPE Cutting Board Sheet Yellow 1/2 x 24x48,none
A_hdpe_cutboard,B09MJQXVY5,May 17 2026,HDPE Cutting Board Sheet White 12x18,none
A_hdpe_cutboard,B07JJ2Y3HH,May 17 2026,HDPE Cutting Board Sheet Green 3/4 x 12x30,none
D_other_plastic,B00FMY7M82,May 17 2026,UHMW Sheet Virgin Natural 24x48x1/16,none
A_hdpe_cutboard,B07JJ2XN7R,May 17 2026,HDPE Cutting Board Sheet Yellow 1/2 x 12x42,none
D_other_plastic,B09LVZ174P,May 17 2026,Polycarbonate Sheet Clear,none
D_other_plastic,B00CJLI6NG,May 17 2026,Cast Acrylic Round Rod Clear 2-1/2 OD x 60 L,none
B_woodgrain,B08L4365ZT,May 16 2026,Whitewash Woodgrain HDPE Sheet 3/4 x 12x18,$64
C_oem_cutboard,B0DLLBH7L2,May 16 2026,Cutting Board OEM Continental 9-13/16 x 72,$111
B_woodgrain,B08L43YDD7,May 16 2026,Mahogany Woodgrain HDPE Sheet 3/4 x 12x48,none
A_hdpe_cutboard,B07JJ2XMN6,May 15 2026,HDPE Cutting Board Sheet Natural White 5/8 x 24x42,none
B_woodgrain,B08L447HGG,May 15 2026,Weatherwood Woodgrain HDPE Sheet 1/2 x 30x48,none
A_hdpe_cutboard,B07JJCFW79,May 15 2026,HDPE Cutting Board Sheet White 5/8 x 18x24,none
A_hdpe_cutboard,B09L8NN317,May 15 2026,HDPE Cutting Board Sheet White 1/4 x 24x36,none
A_hdpe_cutboard,B0D8CZ12M8,May 15 2026,HDPE Cutting Board Sheet Red 1 x 36x48,none
C_oem_cutboard,B0DLL6WW12,May 15 2026,Cutting Board OEM Continental 11-13/16 x 48 5-270,none
C_oem_cutboard,B0DLL875GZ,May 15 2026,Cutting Board OEM Continental 18-7/8 x 43 5-306,none
C_oem_cutboard,B0GY24W4PL,May 15 2026,Cutting Board OEM Norlake 20 x 59.5 RLAKE,none
A_hdpe_cutboard,B07JJYHVQ5,May 15 2026,HDPE Cutting Board Sheet Green 3/4 x 18x42,none
A_hdpe_cutboard,B07JJ35G72,May 13 2026,HDPE Cutting Board Sheet Green 3/4 x 24x48,none
A_hdpe_cutboard,B0D8BX3J12,May 13 2026,HDPE Cutting Board Sheet Beige 3/4 x 12x48,none
A_hdpe_cutboard,B09LWKLV7V,May 13 2026,HDPE Cutting Board Sheet Blue 1/2 x 18x42,none
A_hdpe_cutboard,B07JJBNL2H,May 13 2026,HDPE Cutting Board Sheet Blue 3/4 x 36x42,none
A_hdpe_cutboard,B0C9R9TK4Y,May 13 2026,HDPE Cutting Board Sheet Black 3/8 x 36x48,none
A_hdpe_cutboard,B07JHFFJ2P,May 13 2026,HDPE Cutting Board Sheet Blue 3/4 x 24x42,none
A_hdpe_cutboard,B09L8LXJPZ,May 13 2026,HDPE Cutting Board Sheet Natural White 1/2 x 18x42,$250
A_hdpe_cutboard,B0D8C2SD3P,May 13 2026,HDPE Cutting Board Sheet Black 1 x 30x48,none
C_oem_cutboard,B0DKPHJT24,May 13 2026,Cutting Board OEM Turbo Air 9.5 x 59 BS51900201,none
A_hdpe_cutboard,B09L8NZ7GM,May 13 2026,HDPE Cutting Board Sheet White 1/4 x 18x18,$51
A_hdpe_cutboard,B07JJ38YM1,May 13 2026,HDPE Cutting Board Sheet Blue 3/4 x 12x18,none
A_hdpe_cutboard,B07JWN51GJ,May 10 2026,HDPE Cutting Board Sheet Blue 3/4 x 30x48,none
A_hdpe_cutboard,B07JHFM1Q2,May 10 2026,HDPE Cutting Board Sheet Black 1/4 x 18x48,none
A_hdpe_cutboard,B0D8BT1X3H,May 10 2026,HDPE Cutting Board Sheet Beige 3/4 x 24x30,none
A_hdpe_cutboard,B07JJ2QCRF,May 10 2026,HDPE Cutting Board Sheet White 5/8 x 12x12,none
A_hdpe_cutboard,B07JJLDT1F,May 10 2026,HDPE Cutting Board Sheet Yellow 1/2 x 24x30,none
B_woodgrain,B08L4497CT,May 10 2026,Dark Ash Woodgrain HDPE Sheet 1/2 x 12x36,none
A_hdpe_cutboard,B0D8BSMB7X,May 10 2026,HDPE Cutting Board Sheet Red 3/4 x 12x42,none
A_hdpe_cutboard,B0D8BXZ3NC,May 10 2026,HDPE Cutting Board Sheet Red 3/4 x 12x24,none
A_hdpe_cutboard,B0D8CVRHHJ,May 10 2026,HDPE Cutting Board Sheet Red 1 x 24x42,none
A_hdpe_cutboard,B07JHFFTQM,May 10 2026,HDPE Cutting Board Sheet Red 1/2 x 18x30,none
C_oem_cutboard,B0DLL8MTKV,May 8 2026,Cutting Board OEM Continental 18-7/8 x 68 5-307,none
A_hdpe_cutboard,B09L8NT6D9,May 8 2026,HDPE Cutting Board Sheet White 1/4 x 18x30,$64
A_hdpe_cutboard,B07JJV8FKH,May 8 2026,HDPE Cutting Board Sheet Black 1/4 x 12x42,$70
A_hdpe_cutboard,B07JJYHX4F,May 8 2026,HDPE Cutting Board Sheet Blue 3/4 x 36x48,none
A_hdpe_cutboard,B07JJBW46W,May 8 2026,HDPE Cutting Board Sheet Blue 3/4 x 30x36,none
B_woodgrain,B08L465PH3,May 8 2026,HDPE Sheet Woodgrain,none
C_oem_cutboard,B0DLL6763T,May 8 2026,Cutting Board OEM Continental 11-13/16 x 68 5-407,none
A_hdpe_cutboard,B0D8BYXP9B,May 8 2026,HDPE Cutting Board Sheet Red 3/4 x 12x48,none
A_hdpe_cutboard,B0D89841J2,May 8 2026,HDPE Cutting Board Sheet Green 1/2 x 12x36,none
A_hdpe_cutboard,B07JJYHRZ5,May 8 2026,HDPE Cutting Board Sheet Blue 3/4 x 24x36,none
